,Material Class,,,,"Composition, wt.%",,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment,,,,,,,,,,,Irradiation Conditions,,,,Specimen Dimensions,,,,,,,,,,,Creep properties,,,,,,,,,,,,
Reference,Alloy Group,Alloy Designation,Alloy Grade,Class,Heat,"C, wt.%","Si, wt.%","Mn, wt.%","P, wt.%","S, wt.%","Ni, wt.%","Cr, wt.%","Mo, wt.%","Al, wt.%","N, wt.%","Ti, wt.%","Fe, wt.%","Nb, wt.%","B, wt.%","Cu, wt.%","V, wt.%","Mg, wt.%","Y, wt.%","Zr, wt.%","Zn, wt.%","W, wt.%","Sn, wt.%","Co, wt.%","O, wt.%","Ta, wt.%","H, wt.%",Manufacturing,Treatment,Treatment categories,"Treatment temperature, C","Post treatment temperature, C","Post treatment time, h",Cooling,Finishing process,Microstructure,Morphology,Grain size (μm),Irradiation Dose,Irradiation Temperature,Irradiated Specimen,Irradiation Time (h),Specimen Stock Type,Specimen Shape,Specimen Size,Creep Test Type,Length (mm),Thickness (mm),Fillet radius R (mm),Width (mm),Notch,Aspect ratio (L/w),Aspect ratio (t/w),Creep Test Type,Stress (Mpa),Temperature of Creep Test (C),Creep Rupture Life (h),Minimum Creep Rate (%/h),Strain to Rupture (%),Reduction of Area (%),Time (h),Strain (%),Vacuum,Comments and Notes,Sample Identiefiers,Source
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1050,,,,,,9.8,,,No,,,,,,,,,,,,,,330,600,702.61,,14.0591,,,,,,1,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1050,,,,,,9.8,,,No,,,,,,,,,,,,,,330,600,644.11,,12.7802,,,,,,2,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1100,,,,,,6.8,,,No,,,,,,,,,,,,,,330,600,1786.9,,17.402,,,,,,3,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1100,,,,,,6.8,,,No,,,,,,,,,,,,,,330,600,1627.06,,18.6352,,,,,,4,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1150,,,,,,6.8,,,No,,,,,,,,,,,,,,330,600,2712.95,,21.5663,,,,,,5,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,,Argon Oxygen Decarburization,,,1150,,,,,,6.8,,,No,,,,,,,,,,,,,,330,600,3296.38,,15.7222,,,,,,6,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1050,,,,,,8.5,,,No,,,,,,,,,,,,,,330,600,1538.71,,26.23560000000001,,,,,,7,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1050,,,,,,8.5,,,No,,,,,,,,,,,,,,330,600,1588.69,,25.4397,,,,,,8,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1100,,,,,,8,,,No,,,,,,,,,,,,,,330,600,2381.19,,21.4143,,,,,,9,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1100,,,,,,8,,,No,,,,,,,,,,,,,,330,600,2338.7,,32.8407,,,,,,10,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1150,,,,,,8,,,No,,,,,,,,,,,,,,330,600,3268.12,,27.5109,,,,,,11,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting,,Thermal Treatment,,1150,,,,,,8,,,No,,,,,,,,,,,,,,330,600,3680.77,,30.8939,,,,,,12,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1050,,,,,,,,,No,,,,,,,,,,,,,,330,600,747.73,,13.5569,,,,,,13,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1050,,,,,,,,,No,,,,,,,,,,,,,,330,600,673.24,,13.0752,,,,,,14,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1100,,,,,,,,,No,,,,,,,,,,,,,,330,600,2276.58,,20.9821,,,,,,15,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1100,,,,,,,,,No,,,,,,,,,,,,,,330,600,2116.73,,25.766,,,,,,16,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1150,,,,,,,,,No,,,,,,,,,,,,,,330,600,2896.78,,15.5086,,,,,,17,OSTI ID: 1847949
1,Stainless Steel,A709,,,,0.07,0.44,0.91,0.014,0.001,24.98,19.93,1.51,0.02,0.148,0.04,51.5925,0.26,0.0045,0.06,0,0,0,0,0,0,0,0.02,0,0,0,electro-slag remelting + homogenized,,Thermal Treatment,,1150,,,,,,,,,No,,,,,,,,,,,,,,330,600,2770.72,,24.0848,,,,,,18,OSTI ID: 1847949
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,82,775,,0.0126,,,,,,,19,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,75,800,,0.0139999999999999,,,,,,,20,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,110,700,,0.00202999999999999,,,,,,,21,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,110,750,,0.0217,,,,,,,22,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,110,725,,0.00622,,,,,,,23,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,140,725,,0.0268,,,,,,,24,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,150,675,,0.00262,,,,,,,25,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,140,700,,0.00686,,,,,,,26,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,150,700,,0.01,,,,,,,27,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,175,650,,0.00157,,,,,,,28,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,75,775,,0.00289,,,,,,,29,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,140,675,,0.00184,,,,,,,30,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,175,675,,0.00631,,,,,,,31,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,200,650,,0.00293,,,,,,,32,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,200,625,,0.000633,,,,,,,33,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,250,625,,0.0037,,,,,,,34,OSTI ID: 1887676
2,Stainless Steel,A709,,,58776,0.066,0.38,0.9,0.014,0.001,25.14,20.05,1.51,0.02,0.152,0.01,51.414,0.26,0.003,0.06,0,0,0,0,0,0,0,0.02,0,0,0,G.O. Carlson Inc,,Thermal Treatment,,775,10,Air Cooled,,,,,,,No,,Rod,Cylindrical,Sub-Size,Uniaxial,47.625,9.525,4.7625,,unnotched,,,,250,600,,0.000713,,,,,,,35,OSTI ID: 1887676
